#Properties(m)#
radius,0.113825
circumference,0.715186
output_min,0
output_max,4095
deadzone_low,1800
deadzone_high,2300
center,2048
target_max,3200
target_min,800
#Calibration#
target,rpm
800,-56.5
1000,-53
1100,-47
1200,-42
1300,-37
1400,-33
1500,-27
1600,-22
1700,-17.5
1750,-15
1775,-13.666
1780,-13.333
1790,-12.833
1800,0
2048,0
2300,0
2310,13
2320,13.666
2330,14.166
2350,15
2375,16.5
2400,17.666
2500,22.833
2600,27.6
2700,32.5
2800,37.7
3000,48
3100,52.5
3200,57.6
